,radius,start_time,a_avg,b_avg,bstd_avg,n_avg,mc_avg,a_std,b_std,bstd_std,n_std,mc_std,diff
0,1,1990-01-31 00:00:00+00:00,,,,,,,,,,,
1,1,1990-07-31 00:00:00+00:00,,,,,,,,,,,
2,1,1991-01-31 00:00:00+00:00,,,,,,,,,,,
3,1,1991-07-31 00:00:00+00:00,,,,,,,,,,,
4,1,1992-01-31 00:00:00+00:00,,,,,,,,,,,
5,1,1992-07-31 00:00:00+00:00,,,,,,,,,,,
6,1,1993-01-31 00:00:00+00:00,,,,,,,,,,,
7,1,1993-07-31 00:00:00+00:00,,,,,,,,,,,
8,1,1994-01-31 00:00:00+00:00,,,,,,,,,,,
9,1,1994-07-31 00:00:00+00:00,,,,,,,,,,,
10,1,1995-01-31 00:00:00+00:00,,,,,,,,,,,
11,1,1995-07-31 00:00:00+00:00,,,,,,,,,,,
12,1,1996-01-31 00:00:00+00:00,,,,,,,,,,,
13,1,1996-07-31 00:00:00+00:00,,,,,,,,,,,
14,1,1997-01-31 00:00:00+00:00,,,,,,,,,,,
15,1,1997-07-31 00:00:00+00:00,,,,,,,,,,,
16,1,1998-01-31 00:00:00+00:00,,,,,,,,,,,
17,1,1998-07-31 00:00:00+00:00,,,,,,,,,,,
18,1,1999-01-31 00:00:00+00:00,,,,,,,,,,,
19,1,1999-07-31 00:00:00+00:00,,,,,,,,,,,
20,1,2000-01-31 00:00:00+00:00,,,,,,,,,,,
21,1,2000-07-31 00:00:00+00:00,,,,,,,,,,,
22,1,2001-01-31 00:00:00+00:00,,,,,,,,,,,
23,1,2001-07-31 00:00:00+00:00,,,,,,,,,,,
24,1,2002-01-31 00:00:00+00:00,,,,,,,,,,,
25,1,2002-07-31 00:00:00+00:00,,,,,,,,,,,
26,1,2003-01-31 00:00:00+00:00,,,,,,,,,,,
27,1,2003-07-31 00:00:00+00:00,,,,,,,,,,,
28,1,2004-01-31 00:00:00+00:00,,,,,,,,,,,
29,1,2004-07-31 00:00:00+00:00,,,,,,,,,,,
30,1,2005-01-31 00:00:00+00:00,,,,,,,,,,,
31,1,2005-07-31 00:00:00+00:00,,,,,,,,,,,
32,1,2006-01-31 00:00:00+00:00,,,,,,,,,,,
33,1,2006-07-31 00:00:00+00:00,,,,,,,,,,,
34,1,2007-01-31 00:00:00+00:00,,,,,,,,,,,
35,1,2007-07-31 00:00:00+00:00,,,,,,,,,,,
36,1,2008-01-31 00:00:00+00:00,,,,,,,,,,,
37,1,2008-07-31 00:00:00+00:00,,,,,,,,,,,
38,1,2009-01-31 00:00:00+00:00,,,,,,,,,,,
39,1,2009-07-31 00:00:00+00:00,,,,,,,,,,,
40,1,2010-01-31 00:00:00+00:00,,,,,,,,,,,
41,1,2010-07-31 00:00:00+00:00,,,,,,,,,,,
42,1,2011-01-31 00:00:00+00:00,,,,,,,,,,,
43,2,1990-01-31 00:00:00+00:00,11.291656529484534,8.685889638065023,,1.0,1.0,1.7916048172641524e-15,5.374814451792457e-15,,0.0,0.0,
44,2,1990-07-31 00:00:00+00:00,11.291656529484541,8.685889638065023,,1.0,1.0,5.384295521873979e-15,5.384295521873979e-15,,0.0,0.0,0.0
45,2,1991-01-31 00:00:00+00:00,11.291656529484534,8.685889638065023,,1.0,1.0,1.7918711674949058e-15,5.375613502484717e-15,,0.0,0.0,0.0
46,2,1991-07-31 00:00:00+00:00,11.29165652948454,8.685889638065023,,1.0,1.0,3.5880649343632166e-15,5.382097401544825e-15,,0.0,0.0,0.0
47,2,1992-01-31 00:00:00+00:00,11.291656529484543,8.685889638065023,,1.0,1.0,7.187573755500028e-15,5.390680316625021e-15,,0.0,0.0,0.0
48,2,1992-07-31 00:00:00+00:00,11.291656529484541,8.685889638065023,,1.0,1.0,5.4025784115714076e-15,5.4025784115714076e-15,,0.0,0.0,0.0
49,2,1993-01-31 00:00:00+00:00,11.29165652948454,8.685889638065023,,1.0,1.0,3.588782762705772e-15,5.383174144058657e-15,,0.0,0.0,0.0
