radius,start_time,a,b,bstd,n,mc
1,1990-01-31 00:00:00+00:00,,,,,
1,1990-07-31 00:00:00+00:00,,,,,
1,1991-01-31 00:00:00+00:00,,,,,
1,1991-07-31 00:00:00+00:00,,,,,
1,1992-01-31 00:00:00+00:00,,,,,
1,1992-07-31 00:00:00+00:00,,,,,
1,1993-01-31 00:00:00+00:00,,,,,
1,1993-07-31 00:00:00+00:00,,,,,
1,1994-01-31 00:00:00+00:00,,,,,
1,1994-07-31 00:00:00+00:00,,,,,
1,1995-01-31 00:00:00+00:00,,,,,
1,1995-07-31 00:00:00+00:00,,,,,
1,1996-01-31 00:00:00+00:00,,,,,
1,1996-07-31 00:00:00+00:00,,,,,
1,1997-01-31 00:00:00+00:00,,,,,
1,1997-07-31 00:00:00+00:00,,,,,
1,1998-01-31 00:00:00+00:00,,,,,
1,1998-07-31 00:00:00+00:00,,,,,
1,1999-01-31 00:00:00+00:00,,,,,
1,1999-07-31 00:00:00+00:00,,,,,
1,2000-01-31 00:00:00+00:00,,,,,
1,2000-07-31 00:00:00+00:00,,,,,
1,2001-01-31 00:00:00+00:00,,,,,
1,2001-07-31 00:00:00+00:00,,,,,
1,2002-01-31 00:00:00+00:00,,,,,
1,2002-07-31 00:00:00+00:00,,,,,
1,2003-01-31 00:00:00+00:00,,,,,
1,2003-07-31 00:00:00+00:00,,,,,
1,2004-01-31 00:00:00+00:00,,,,,
1,2004-07-31 00:00:00+00:00,,,,,
1,2005-01-31 00:00:00+00:00,,,,,
1,2005-07-31 00:00:00+00:00,,,,,
1,2006-01-31 00:00:00+00:00,,,,,
1,2006-07-31 00:00:00+00:00,,,,,
1,2007-01-31 00:00:00+00:00,,,,,
2,1990-01-31 00:00:00+00:00,,,,,
2,1990-07-31 00:00:00+00:00,,,,,
2,1991-01-31 00:00:00+00:00,,,,,
2,1991-07-31 00:00:00+00:00,,,,,
2,1992-01-31 00:00:00+00:00,,,,,
2,1992-07-31 00:00:00+00:00,,,,,
2,1993-01-31 00:00:00+00:00,,,,,
2,1993-07-31 00:00:00+00:00,,,,,
2,1994-01-31 00:00:00+00:00,,,,,
2,1994-07-31 00:00:00+00:00,,,,,
2,1995-01-31 00:00:00+00:00,,,,,
2,1995-07-31 00:00:00+00:00,,,,,
2,1996-01-31 00:00:00+00:00,,,,,
2,1996-07-31 00:00:00+00:00,,,,,
2,1997-01-31 00:00:00+00:00,,,,,
2,1997-07-31 00:00:00+00:00,,,,,
2,1998-01-31 00:00:00+00:00,,,,,
2,1998-07-31 00:00:00+00:00,,,,,
2,1999-01-31 00:00:00+00:00,,,,,
2,1999-07-31 00:00:00+00:00,,,,,
2,2000-01-31 00:00:00+00:00,,,,,
2,2000-07-31 00:00:00+00:00,,,,,
2,2001-01-31 00:00:00+00:00,,,,,
2,2001-07-31 00:00:00+00:00,,,,,
2,2002-01-31 00:00:00+00:00,,,,,
2,2002-07-31 00:00:00+00:00,,,,,
2,2003-01-31 00:00:00+00:00,,,,,
2,2003-07-31 00:00:00+00:00,,,,,
2,2004-01-31 00:00:00+00:00,,,,,
2,2004-07-31 00:00:00+00:00,,,,,
2,2005-01-31 00:00:00+00:00,,,,,
2,2005-07-31 00:00:00+00:00,,,,,
2,2006-01-31 00:00:00+00:00,,,,,
2,2006-07-31 00:00:00+00:00,,,,,
2,2007-01-31 00:00:00+00:00,,,,,
3,1990-01-31 00:00:00+00:00,,,,,
3,1990-07-31 00:00:00+00:00,,,,,
3,1991-01-31 00:00:00+00:00,,,,,
3,1991-07-31 00:00:00+00:00,,,,,
3,1992-01-31 00:00:00+00:00,,,,,
3,1992-07-31 00:00:00+00:00,,,,,
3,1993-01-31 00:00:00+00:00,,,,,
3,1993-07-31 00:00:00+00:00,,,,,
3,1994-01-31 00:00:00+00:00,,,,,
3,1994-07-31 00:00:00+00:00,,,,,
3,1995-01-31 00:00:00+00:00,,,,,
3,1995-07-31 00:00:00+00:00,,,,,
3,1996-01-31 00:00:00+00:00,,,,,
3,1996-07-31 00:00:00+00:00,,,,,
3,1997-01-31 00:00:00+00:00,,,,,
